nblocks,n_evals,sparsity,block_length,num_procs,mpi_block_time
1,10,0.001,100000,1,1.4155070781707764
2,10,0.001,100000,2,1.4589622020721436
4,10,0.001,100000,4,1.566399097442627
8,10,0.001,100000,8,1.929286241531372
16,10,0.001,100000,16,1.9566540718078613
32,10,0.001,100000,32,2.0851569175720215
64,10,0.001,100000,64,2.247688055038452
128,10,0.001,100000,128,2.313485622406006
256,10,0.001,100000,256,2.3447628021240234
512,10,0.001,100000,512,2.3543357849121094
1024,10,0.001,100000,1024,2.6981892585754395
